"ID","Раздел","Что это","Текст"
"METHOD-14","Как мы учим","Как на самом деле","В диафрагме нет нервных окончаний — почувствовать её нельзя. Звук рождается на связках."
"METHOD-15","Как мы учим","Миф (зачёркнут)","«Раскрой резонаторы»"
"METHOD-16","Как мы учим","Как на самом деле","Камер-резонаторов в теле нет. Есть форма голосового тракта — её меняют языком, нёбом и гортанью."
"METHOD-17","Как мы учим","Миф (зачёркнут)","«Расслабься, у тебя зажим»"
"METHOD-18","Как мы учим","Как на самом деле","Чаще это несбалансированная работа мышц. У неё есть причина и конкретный приём, который её убирает."
"TEACH-01","Педагоги","Надзаголовок секции","Команда"
"TEACH-02","Педагоги","ЗАГОЛОВОК СЕКЦИИ","ПЕДАГОГИ"
"TEACH-03","Педагоги","Подзаголовок секции","Все пятеро сами выходят на сцену и работают по одной методике — различаются стилями и задачами. Не знаете, к кому пойти, — напишите, подберём под ваш запрос."
"TEACH-04","Педагоги","Имя педагога","Далер"
"TEACH-05","Педагоги","Специализация","Сооснователь · экстрим-вокал"
"TEACH-06","Педагоги","Описание педагога","Ставит скрим, гроул и дисторшн — от первого рыка до полного концерта без посаженного голоса. Исполнитель и автор песен, участник прямых эфиров шоу X-Factor: показывает не на словах, а голосом."
"TEACH-07","Педагоги","Строка «Слушает»","Слушает: Chris Cornell, Bad Omens, Panic! At The Disco, Дима Билан"
"TEACH-08","Педагоги","Расписание","Пн 10:00–21:00 · Вт 10:00–17:00 · Чт 10:00–20:00 · Сб 10:00–19:00"
"TEACH-09","Педагоги","Филиал","Филиал Юсуф Хос Ходжиб"
"TEACH-10","Педагоги","Имя педагога","Гульшан"
"TEACH-11","Педагоги","Специализация","Сооснователь · современный вокал"
"TEACH-12","Педагоги","Описание педагога","Музыкальная школа и колледж за плечами, преподаёт с 2022 года и каждый год доучивается сама. Профиль — верхний участок диапазона: микст и белтинг там, где раньше был потолок."
"TEACH-13","Педагоги","Строка «Слушает»","Слушает: Halestorm, Bruno Mars, Queen, Jamiroquai, Arctic Monkeys"
"TEACH-14","Педагоги","Расписание","Ср 12:00–17:00 · Пт 12:00–17:00 · Вс 12:00–17:00"
"TEACH-15","Педагоги","Филиал","Филиал Юсуф Хос Ходжиб"
"TEACH-16","Педагоги","Имя педагога","Азиза"
"TEACH-17","Педагоги","Специализация","Вокал · лауреат международных конкурсов"
"TEACH-18","Педагоги","Описание педагога","15 лет в профессиональном вокале, 5 из них преподаёт — детям и взрослым. Берёт тех, кто идёт на первое занятие со страхом: сначала снимает зажим, потом ставит голос."
"TEACH-19","Педагоги","Строка «Слушает»","Слушает: Lara Fabian, Мот, Звери, Bruno Mars, Анна Герман, Король и Шут"
"TEACH-20","Педагоги","Расписание","Пн 11:00–21:00 · Ср 11:00–21:00 · Пт 11:00–21:00"
"TEACH-21","Педагоги","Филиал","Филиал Дворец железнодорожников"
"TEACH-22","Педагоги","Имя педагога","Камила"
"TEACH-23","Педагоги","Специализация","Вокал · музыкальная грамотность и фортепиано"
"TEACH-24","Педагоги","Описание педагога","Гран-при и звания лауреата международных конкурсов, участница X Factor. Ведёт музыкальную грамотность: с ней ученик перестаёт петь наугад и начинает понимать, из чего собрана песня."
"TEACH-25","Педагоги","Строка «Слушает»","Слушает: Мария Каллас, Франко Корелли, Eagles, The Beatles, Elton John, Леонтина Прайс"
"TEACH-26","Педагоги","Расписание","Расписание уточняется"
"TEACH-27","Педагоги","Филиал","Филиал Дворец железнодорожников"
"TEACH-28","Педагоги","Имя педагога","Мохитобон"
"TEACH-29","Педагоги","Специализация","Эстрадный вокал · занятия на узбекском языке"
"TEACH-30","Педагоги","Описание педагога","Государственная консерватория Узбекистана, специальность «Эстрадное пение», 8 лет преподавания. Действующая концертная вокалистка, снималась в телепроектах. Работает над тембром и подачей — чтобы вас узнавали по голосу."
"TEACH-31","Педагоги","Строка «Слушает»","Слушает: Adele, Beyoncé, Christina Aguilera, Billie Eilish, Lana Del Rey, Sam Smith"
"TEACH-32","Педагоги","Расписание","Вт 10:00–17:00 · Чт 10:00–17:00 · Сб 10:00–17:00"
"TEACH-33","Педагоги","Филиал","Филиал Дворец железнодорожников"
"REV-01","Ученики и концерты","Надзаголовок секции","Ученики"
"REV-02","Ученики и концерты","ЗАГОЛОВОК СЕКЦИИ","КАК ЭТО ЗВУЧИТ"
"REV-03","Ученики и концерты","Подзаголовок секции","Скриншоты без правок, как пришли. Нажмите на отзыв, чтобы открыть целиком."
"REV-04","Ученики и концерты","Подпись под отзывом","Рената · апрель 2024"
"REV-05","Ученики и концерты","Подпись под отзывом","Анастасия · март 2025"
"REV-06","Ученики и концерты","Подпись под отзывом","Елена · декабрь 2023"
"REV-07","Ученики и концерты","Заголовок про концерты","Отчётные концерты"
"REV-08","Ученики и концерты","Текст про концерты","Раз в полгода мы собираем зал: сцена, свет, звук и живой зритель. Выходят ученики любого уровня, в том числе те, кто занимается пару месяцев. Участие по желанию — но соглашаются почти все. Один такой вечер снимает страх сцены лучше, чем месяц разговоров о нём."
"REV-09","Ученики и концерты","Кнопка","Хочу на сцену"
"REV-10","Ученики и концерты","Подпись под фото концерта","Сцена и зал"
"REV-11","Ученики и концерты","Подпись под фото концерта","У микрофона"
"REV-12","Ученики и концерты","Подпись под фото концерта","Все участники вечера"
"REV-13","Ученики и концерты","Примечание про Instagram","Больше разборов и записей учеников — в Instagram <a href=""https://www.instagram.com/harmonyvocal.uz"" target=""_blank"" rel=""noopener"">@harmonyvocal.uz</a>"
"APP-01","Приложение","Надзаголовок секции","Ученикам студии"
"APP-02","Приложение","ЗАГОЛОВОК СЕКЦИИ","HARMONY VOCAL TRAINER"
"APP-03","Приложение","Подзаголовок секции","Голос забывает быстрее, чем кажется. Приложение держит форму между занятиями — три минуты в день вместо часа наверстывания на уроке."
"APP-04","Приложение","Пункт списка приложения","<b>Распевка на три минуты.</b> Четыре упражнения на каждый день."
"APP-05","Приложение","Пункт списка приложения","<b>Тренажёр интонации.</b> Нота видна в реальном времени — попали или мимо."
"APP-06","Приложение","Пункт списка приложения","<b>Упражнения на слух.</b> Спеть то, что услышали, не подглядывая в подсказку."
"APP-07","Приложение","Пункт списка приложения","<b>Лаборатория.</b> Спектрограмма голоса: видно то, что педагог объясняет словами."
"APP-08","Приложение","Пункт списка приложения","<b>Прогресс.</b> Уровни и серия дней — видно, что растёт."
"APP-09","Приложение","Плашка «входит в занятия»","Входит в занятия, отдельно платить не нужно"
"APP-10","Приложение","Кнопка","Начать заниматься"
"FAQ-01","Вопросы","Надзаголовок секции","Вопросы"
"FAQ-02","Вопросы","ЗАГОЛОВОК СЕКЦИИ","ЧТО ОБЫЧНО СПРАШИВАЮТ"
"FAQ-03","Вопросы","Вопрос","Я совсем не умею петь, и слуха нет."
"FAQ-04","Вопросы","Ответ","Так приходит большинство наших учеников. «Нет слуха» почти всегда значит другое: высоту вы слышите, но пока не попадаете в неё голосом. Это два разных навыка, и второй тренируется — как растяжка или удар в спорте."
"FAQ-05","Вопросы","Вопрос","Не поздно начинать взрослым?"
"FAQ-06","Вопросы","Ответ","Нет. Голос — это мышцы, они тренируются в любом возрасте. У взрослых даже есть фора: объяснение вы понимаете с первого раза, а не с десятого, и дома занимаетесь без напоминаний."
"FAQ-07","Вопросы","Вопрос","Сколько времени нужно, чтобы научиться петь?"
"FAQ-08","Вопросы","Ответ","Смотря чего вы хотите. Чище попадать в ноты — обычно несколько занятий. Уверенно вытянуть свою песню целиком — несколько месяцев. На первом уроке педагог скажет, где вы сейчас и сколько займёт именно ваша задача."
"FAQ-09","Вопросы","Вопрос","Сколько раз в неделю заниматься?"
"FAQ-10","Вопросы","Ответ","Один-два раза. Два дают заметно более быстрый результат, один работает, если вы занимаетесь дома по десять минут в день. Меньше раза в неделю — голос успевает откатываться назад."
"FAQ-11","Вопросы","Вопрос","На каком языке проходят занятия?"
"FAQ-12","Вопросы","Ответ","На русском и на узбекском — как вам удобнее. На узбекском ведёт Мохитобон, выпускница Государственной консерватории Узбекистана. Скажите при записи, и мы подберём педагога."
"FAQ-13","Вопросы","Вопрос","Я стесняюсь петь при других."
"FAQ-14","Вопросы","Ответ","Поэтому мы и занимаемся один на один: в кабинете только вы и педагог, никакой группы, при которой страшно ошибиться. Азиза отдельно работает с зажатостью — с ней распеваются даже те, кто раньше не пел ни при ком."
"FAQ-15","Вопросы","Вопрос","Не сорву ли я голос на скриме?"
"FAQ-16","Вопросы","Ответ","Голос сажает не техника, а пение через силу. С первого занятия учим отличать рабочую нагрузку от сигнала остановиться и ставим разогрев с охлаждением. При таком подходе экстрим выдерживает и регулярные концерты."
"PRICE-01","Цены","Надзаголовок секции","Стоимость"
"PRICE-02","Цены","ЗАГОЛОВОК СЕКЦИИ","ЦЕНЫ"
"PRICE-03","Цены","Подзаголовок секции","Одна сумма за занятие — разбор песни, упражнения, материалы и приложение уже внутри. Никаких доплат за «продвинутый модуль»."
"PRICE-04","Цены","Бейдж скидки","−10% по абонементу"
"PRICE-05","Цены","Название тарифа","Вокал"
"PRICE-06","Цены","Что входит в тариф","Современный и экстрим-вокал · 1 час"
"PRICE-07","Цены","Название строки цены","Разовое занятие"
"PRICE-08","Цены","Сумма","300 000 <i>сум</i>"
"PRICE-09","Цены","Название строки цены","По абонементу"
"PRICE-10","Цены","Сумма","270 000 <i>сум</i>"
"PRICE-11","Цены","Выгода","Выгода 30 000 сум с каждого занятия — около 240 000 сум в месяц, если заниматься дважды в неделю."
"PRICE-12","Цены","Кнопка","Записаться"
"PRICE-13","Цены","Название тарифа","Музыкальная грамотность"
"PRICE-14","Цены","Что входит в тариф","Теория + фортепиано · 1 час"
"PRICE-15","Цены","Название строки цены","Разовое занятие"
"PRICE-16","Цены","Сумма","230 000 <i>сум</i>"
"PRICE-17","Цены","Название строки цены","По абонементу"
"PRICE-18","Цены","Сумма","200 000 <i>сум</i>"
"PRICE-19","Цены","Выгода","Выгода 30 000 сум с занятия. Хорошо совмещается с вокалом."
"PRICE-20","Цены","Кнопка","Записаться"
"PRICE-21","Цены","Заголовок про абонемент","Как считается абонемент"
"PRICE-22","Цены","Как считается абонемент","Выбираете дни недели — платите за занятия, которые выпадают на этот месяц. Минимум 4 занятия. За вами закрепляется постоянное время в расписании."
"PRICE-23","Цены","Формула абонемента","Цена по абонементу"
"PRICE-24","Цены","Формула абонемента","×"
"PRICE-25","Цены","Формула абонемента","занятий в месяце"
"PRICE-26","Цены","Формула абонемента","="
"PRICE-27","Цены","Формула абонемента","сумма"
"PRICE-28","Цены","Пример расчёта","Например, 4 занятия по вокалу — <b>1 080 000 сум</b>, восемь — <b>2 160 000 сум</b>."
"PRICE-29","Цены","Заголовок условий","Условия занятий"
"PRICE-30","Цены","Пункт условий","Перенести занятие можно не позднее чем за 12 часов. Позже — урок считается проведённым."
"PRICE-31","Цены","Пункт условий","Перенесённое занятие проходит в том же месяце, если у педагога есть свободное окно."
"PRICE-32","Цены","Пункт условий","Перенос на следующий месяц возможен по согласованию с педагогом."
"PRICE-33","Цены","Пункт условий","Оплаченный пакет занятий возврату не подлежит."
"PRICE-34","Цены","Пункт условий","Если пропустить разовый урок, повторная запись — по предоплате."
"PRICE-35","Цены","Способы оплаты","Оплата наличными или по QR-коду через платёжное приложение."
"CONT-01","Контакты","Надзаголовок секции","Контакты"
"CONT-02","Контакты","ЗАГОЛОВОК СЕКЦИИ","ДВА ФИЛИАЛА В ТАШКЕНТЕ"
"CONT-03","Контакты","Подзаголовок секции","Выбирайте филиал по педагогу или по тому, куда удобнее добираться."
"CONT-04","Контакты","Номер филиала","Филиал 01"
"CONT-05","Контакты","Название филиала","Дворец железнодорожников"
"CONT-06","Контакты","Адрес","ул. Амира Темура, 30"
"CONT-07","Контакты","Как найти","Дворец культуры железнодорожников, 2 этаж. От лестницы направо, кабинет 16."
"CONT-08","Контакты","Ориентир","Рядом с Северным вокзалом"
"CONT-09","Контакты","Педагоги филиала","<span>Педагоги:</span> Камила, Азиза, Мохитобон"
"CONT-10","Контакты","Ссылка на маршрут","Проложить маршрут"
"CONT-11","Контакты","Номер филиала","Филиал 02"
"CONT-12","Контакты","Название филиала","Юсуф Хос Ходжиб"
"CONT-13","Контакты","Адрес","ул. Юсуф Хос Ходжиба, 43"
"CONT-14","Контакты","Как найти","Напротив «Mazzali», под магазином «LEGION»."
"CONT-15","Контакты","Ориентир","Вход со стороны улицы"
"CONT-16","Контакты","Педагоги филиала","<span>Педагоги:</span> Далер, Гульшан"
"CONT-17","Контакты","Ссылка на маршрут","Проложить маршрут"
"CONT-18","Контакты","Подпись контакта","Телефон и WhatsApp"
"CONT-19","Контакты","Телефон","+998 90 176-07-28"
"CONT-20","Контакты","Подпись контакта","Оплата"
"CONT-21","Контакты","Значение контакта","Наличными или по QR-коду"
"CONT-22","Контакты","Подпись контакта","Соцсети"
"CONT-23","Контакты","Соцсеть","Instagram"
"CONT-24","Контакты","Соцсеть","Telegram"
"CONT-25","Контакты","Кнопка","Записаться на занятие"
"CONT-26","Контакты","Вкладка карты","Дворец железнодорожников"
"CONT-27","Контакты","Вкладка карты","Юсуф Хос Ходжиб"
"CONT-28","Контакты","Надпись при загрузке карты","Загружаем карту…"
"FOOT-01","Футер","Описание в футере","Школа индивидуального вокального и музыкального образования.<br> Ташкент, Узбекистан."
"FOOT-02","Футер","Телефон в футере","+998 90 176-07-28"
"FOOT-03","Футер","Пункт меню в футере","Направления"
"FOOT-04","Футер","Пункт меню в футере","Первое занятие"
"FOOT-05","Футер","Пункт меню в футере","Как мы учим"
"FOOT-06","Футер","Пункт меню в футере","Педагоги"
"FOOT-07","Футер","Пункт меню в футере","Ученики"
"FOOT-08","Футер","Пункт меню в футере","Вопросы"
"FOOT-09","Футер","Пункт меню в футере","Цены"
"FOOT-10","Футер","Пункт меню в футере","Контакты"
"FOOT-11","Футер","Соцсеть в футере","@harmonyvocal.uz"
"FOOT-12","Футер","Соцсеть в футере","Telegram"
"FOOT-13","Футер","p","© <span id=""year"">2026</span> Harmony Vocal Mastery Studio"
"FOOT-14","Футер","p","Амира Темура, 30 · Юсуф Хос Ходжиба, 43"
